"Season","Conference","Player","Team","BA","OBP","SLG","OPS","GP","PA","AB","R","H","2B","3B","HR","RBI","HBP","BB","K","SB","CS"
2021,"All Division I","Cassady Greenwood","Louisville",0.212,0.272,0.294,0.566,38,92,85,9,18,4,0,1,4,1,6,20,2,0
2021,"All Division I","Cassidy Davis","Florida State",0.269,0.381,0.531,0.912,61,176,145,21,39,9,1,9,28,0,28,39,1,0
2021,"All Division I","Cassidy Triska","Fairleigh Dickinson",0.289,0.355,0.474,0.829,30,107,97,15,28,6,0,4,17,2,8,13,7,0
2021,"All Division I","Cassie Kaelber","Illinois-Chicago",0.295,0.323,0.349,0.672,52,159,149,20,44,6,1,0,11,1,5,23,9,4
2021,"All Division I","Cassie Swenson","Rhode Island",0.245,0.327,0.327,0.654,22,56,49,10,12,4,0,0,3,0,6,8,0,0
2021,"All Division I","Cat Crenek","Texas State",0.265,0.333,0.402,0.735,46,130,117,19,31,2,1,4,15,1,11,29,8,1
2021,"All Division I","Cayla Jones","Northwestern State",0.302,0.443,0.491,0.934,40,149,116,24,35,8,1,4,27,8,23,15,11,1
2021,"All Division I","Cayla Kessinger","Missouri",0.327,0.426,0.612,1.038,58,195,165,32,54,5,0,14,34,0,29,27,2,0
2021,"All Division I","Cayla Nielsen","Creighton",0.286,0.342,0.386,0.728,28,83,70,15,20,1,0,2,10,2,4,17,2,0
2021,"All Division I","Caylie Kifer","Appalachian State",0.197,0.315,0.246,0.561,45,152,122,17,24,3,0,1,9,1,20,13,7,2
2021,"All Division I","Celene Funke","Louisville",0.188,0.215,0.297,0.512,48,150,138,20,26,4,4,1,11,1,4,28,12,2
2021,"All Division I","Celeste Loughman","UTSA",0.312,0.441,0.543,0.985,46,170,138,32,43,6,4,6,20,1,31,21,11,0
2021,"All Division I","Chaela Crowder","Rider",0.366,0.387,0.465,0.851,32,75,71,5,26,1,0,2,21,0,3,4,0,0
2021,"All Division I","Charla Echols","Florida",0.375,0.478,0.763,1.24,56,201,160,39,60,11,3,15,55,3,33,3,4,0
2021,"All Division I","Charley Butler","Louisville",0.226,0.287,0.349,0.636,40,121,106,20,24,2,1,3,13,2,7,28,6,2
2021,"All Division I","Chase Knapp","Bucknell",0.233,0.321,0.37,0.691,24,84,73,11,17,4,0,2,11,0,10,13,1,0
2021,"All Division I","Chayanna Gallardo","Delaware",0.278,0.357,0.375,0.732,32,85,72,7,20,1,0,2,11,1,9,14,0,0
2021,"All Division I","Chelie Senini","Nevada",0.347,0.385,0.388,0.772,40,158,147,32,51,2,2,0,11,1,8,22,23,0
